id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,50,31,1550,838,558,154,27,96.0,3414
2,50,32,1600,724,666,210,8,455.0,7913
3,40,50,2000,1123,411,466,18,243.0,7734
4,50,35,1750,518,541,691,25,717.0,20203
5,50,34,1700,559,1031,110,4,275.0,3797
6,50,42,2100,771,1116,213,8,294.0,7911
7,50,38,1900,927,770,203,7,227.0,5351
8,40,50,2000,1044,406,550,18,1011.0,23384
9,40,50,2000,1252,389,359,13,199.0,7129
10,50,35,1750,954,596,200,7,510.0,8496
11,50,38,1900,984,679,237,9,639.0,10425
12,50,32,1600,884,587,129,4,133.0,2520
13,50,37,1850,816,463,571,20,915.0,17397
14,50,33,1650,362,1143,145,4,305.0,4740
15,50,30,1500,515,820,165,6,490.0,7218
16,50,33,1650,563,747,340,11,4389.0,37202
17,50,35,1750,665,885,200,7,334.0,5757
18,50,40,2000,413,1369,218,8,383.0,8019
19,50,36,1800,863,833,104,4,278.0,4391
20,50,35,1750,744,807,199,8,225.0,4559
21,50,41,2050,914,657,479,18,1281.0,20518
22,50,44,2200,1262,682,256,9,225.0,6973
23,50,44,2200,1256,700,244,9,238.0,6013
24,50,33,1650,501,965,184,6,1110.0,13637
25,50,33,1650,152,1265,233,7,2017.0,21408
26,50,37,1850,195,1064,591,21,2213.0,32644
27,50,38,1900,765,736,399,14,2629.0,31828
,,,,,,,11.11111111111111,808.5555555555555,12243.74074074074
