id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,800,497,397600,197538,132459,67603,5310,58.0,756915
2,800,524,419200,142599,165293,111308,17941,323.0,2161781
3,640,800,512000,273125,87365,151510,22294,151.0,1788697
4,800,563,450400,113453,118238,218709,37744,612.0,5152786
5,800,552,441600,133492,258016,50092,7963,186.0,953844
6,800,678,542400,183997,270321,88082,15471,218.0,1784994
7,800,618,494400,228025,184518,81857,13678,77.0,1066081
8,647,800,517600,250889,89577,177134,28789,852.0,5843617
9,643,800,514400,303698,86811,123891,20507,132.0,1630697
10,800,571,456800,236267,142175,78358,13172,360.0,2002098
11,800,621,496800,241960,162300,92540,15687,440.0,2579031
12,800,527,421600,226780,142356,52464,7152,72.0,616135
13,800,595,476000,168409,105441,202150,39068,549.0,3913331
14,800,529,423200,84586,282855,55759,7878,212.0,1112541
15,800,490,392000,127099,203797,61104,8356,363.0,1801845
16,800,536,428800,137639,181443,109718,16397,3031.0,7478699
17,800,565,452000,163124,216133,72743,11149,151.0,1173257
18,800,646,516800,89157,334210,93433,16107,238.0,1762468
19,800,580,464000,212408,204487,47105,7459,282.0,1380368
20,800,575,460000,187299,198885,73816,11505,132.0,956934
21,800,663,530400,181448,154278,194674,49181,1110.0,5310220
22,800,719,575200,316515,160340,98345,17044,105.0,1370501
23,800,715,572000,316487,164526,90987,14827,142.0,1433955
24,800,543,434400,126722,239355,68323,10875,584.0,2671581
25,800,532,425600,25569,319694,80337,13366,2136.0,6273940
26,800,604,483200,25557,247015,210628,40075,1892.0,8602735
27,800,608,486400,164667,180509,141224,27025,2649.0,9255902
,,,,,,,18371.11111111111,631.7407407407408,2993887.1481481483
