id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,800,497,397600,204841,139751,53008,9765,52.0,641246
2,800,524,419200,161182,173276,84742,12620,327.0,1915413
3,640,800,512000,277968,100711,133321,16157,147.0,1709622
4,800,563,450400,121196,126765,202439,44828,582.0,4854388
5,800,552,441600,141646,268487,31467,3482,154.0,728659
6,800,678,542400,193493,284269,64638,8051,179.0,1417653
7,800,618,494400,239555,192177,62668,7639,71.0,918678
8,647,800,517600,258848,96355,162397,22878,784.0,5405189
9,643,800,514400,310745,102594,101061,20266,109.0,1414836
10,800,571,456800,244854,153595,58351,9917,318.0,1665181
11,800,621,496800,246953,176351,73496,6611,407.0,2272551
12,800,527,421600,231320,152825,37455,6507,56.0,514945
13,800,595,476000,189366,116295,170339,43412,512.0,3482557
14,800,529,423200,89915,293282,40003,3723,141.0,848684
15,800,490,392000,133671,210121,48208,4200,399.0,1616348
16,800,536,428800,143486,190173,95141,17071,3518.0,7912160
17,800,565,452000,170949,226671,54380,10184,117.0,939396
18,800,646,516800,96087,351215,69498,14977,202.0,1491926
19,800,580,464000,214400,212373,37227,4733,223.0,1144936
20,800,575,460000,192980,212962,54058,6686,119.0,838047
21,800,663,530400,209508,167343,153549,28843,1013.0,4742409
22,800,719,575200,324185,173429,77586,14635,90.0,1143884
23,800,715,572000,325972,176627,69401,12433,119.0,1156441
24,800,543,434400,132515,246659,55226,9748,498.0,2303200
25,800,532,425600,27342,326499,71759,12298,2142.0,6143287
26,800,604,483200,28379,265993,188828,22165,1831.0,8235695
27,800,608,486400,165752,186888,133760,31589,2465.0,8715851
,,,,,,,15015.481481481482,613.8888888888889,2747154.888888889
