id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,100,62,6200,3358,2242,600,26,51.0,9258
2,100,65,6500,2907,2710,883,43,645.0,37975
3,80,100,8000,4480,1624,1896,79,176.0,26607
4,100,70,7000,2071,2146,2783,117,623.0,73518
5,100,69,6900,2266,4173,461,20,137.0,10678
6,100,84,8400,3070,4454,876,38,195.0,24243
7,100,77,7700,3790,3069,841,35,126.0,18264
8,80,100,8000,4195,1610,2195,92,835.0,82527
9,80,100,8000,5011,1581,1408,60,170.0,26037
10,100,71,7100,3901,2402,797,34,381.0,27466
11,100,77,7700,3980,2752,968,41,360.0,34058
12,100,65,6500,3623,2359,518,20,68.0,9073
13,100,74,7400,3304,1849,2247,98,665.0,57313
14,100,66,6600,1454,4566,580,22,246.0,15850
15,100,61,6100,2107,3316,677,26,409.0,24346
16,100,67,6700,2302,3031,1367,57,3779.0,134538
17,100,70,7000,2665,3535,800,34,293.0,21283
18,100,80,8000,1663,5457,880,38,327.0,28098
19,100,72,7200,3462,3342,396,17,245.0,15164
20,100,71,7100,3065,3277,758,32,68.0,10899
21,100,82,8200,3680,2648,1872,93,945.0,70465
22,100,89,8900,5137,2746,1017,44,124.0,20105
23,100,89,8900,5130,2779,991,42,193.0,23246
24,100,67,6700,2066,3871,763,32,547.0,36428
25,100,66,6600,598,5071,931,39,1878.0,82314
26,100,75,7500,796,4323,2381,114,1992.0,123615
27,100,76,7600,3047,2947,1606,70,2030.0,107988
,,,,,,,50.48148148148148,648.4444444444445,42642.81481481482
