id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,400,248,99200,54106,36874,8220,603,38.0,112884
2,400,262,104800,50196,45171,9433,847,195.0,261119
3,320,400,128000,72400,31242,24358,1909,120.0,362890
4,400,281,112400,34561,36592,41247,3233,443.0,980574
5,400,276,110400,37073,68425,4902,363,82.0,109840
6,400,339,135600,51087,75111,9402,769,115.0,226288
7,400,309,123600,62977,50837,9786,722,59.0,176544
8,323,400,129200,68383,28713,32104,2407,695.0,1159381
9,321,400,128400,81140,30114,17146,1247,108.0,324837
10,400,285,114000,64086,41139,8775,655,238.0,294395
11,400,310,124000,64301,47522,12177,882,313.0,421561
12,400,263,105200,59466,39623,6111,422,43.0,102121
13,400,297,118800,58560,32935,27305,2527,494.0,706193
14,400,264,105600,24193,74950,6457,453,107.0,151521
15,400,245,98000,35692,54713,7595,518,210.0,253384
16,400,268,107200,37870,50375,18955,1235,1393.0,1041087
17,400,282,112800,44197,59328,9275,633,103.0,196338
18,400,323,129200,27987,91629,9584,750,149.0,242225
19,400,290,116000,55831,55024,5145,379,155.0,172959
20,400,287,114800,50242,55215,9343,660,69.0,143334
21,400,331,132400,62166,45322,24912,2397,718.0,858094
22,400,359,143600,84442,47977,11181,894,58.0,189970
23,400,357,142800,84042,47757,11001,801,70.0,190289
24,400,271,108400,34358,63908,10134,709,340.0,417416
25,400,266,106400,9344,82835,14221,985,1839.0,1296339
26,400,302,120800,12637,73036,35127,3095,1433.0,1640676
27,400,304,121600,47687,47995,25918,2115,1377.0,1388532
,,,,,,,1192.962962962963,406.0740740740741,497066.3333333333
