id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,100,62,6200,2917,2014,1269,62,150.0,22433
2,100,65,6500,2319,2552,1629,87,701.0,55095
3,80,100,8000,4210,1795,1995,96,185.0,31185
4,100,70,7000,1592,1760,3648,170,1215.0,112757
5,100,69,6900,2047,4121,732,38,308.0,21279
6,100,84,8400,2799,4345,1256,64,409.0,39473
7,100,77,7700,3628,2864,1208,60,133.0,22313
8,80,100,8000,3914,1305,2781,122,1048.0,104453
9,80,100,8000,4588,1718,1694,84,238.0,34475
10,100,71,7100,3712,2317,1071,55,588.0,40605
11,100,77,7700,3634,2552,1514,74,725.0,57414
12,100,65,6500,3382,2320,798,36,182.0,16131
13,100,74,7400,2814,1745,2841,137,853.0,75125
14,100,66,6600,1261,4514,825,39,425.0,26722
15,100,61,6100,2093,3248,759,36,693.0,36245
16,100,67,6700,2146,2846,1708,82,2623.0,114739
17,100,70,7000,2514,3526,960,49,242.0,23068
18,100,80,8000,1319,5332,1349,67,575.0,48430
19,100,72,7200,3171,3162,867,42,879.0,46892
20,100,71,7100,2772,3167,1161,56,277.0,25170
21,100,82,8200,2718,2448,3034,153,1974.0,124784
22,100,89,8900,4913,2672,1315,67,135.0,23788
23,100,89,8900,4982,2688,1230,62,245.0,30516
24,100,67,6700,1840,3755,1105,54,998.0,61416
25,100,66,6600,222,4934,1444,57,3152.0,133384
26,100,75,7500,269,3803,3428,133,3528.0,195726
27,100,76,7600,2163,2777,2660,125,5034.0,236801
,,,,,,,78.03703703703704,1019.074074074074,65200.7037037037
