id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,800,497,397600,215198,143829,38573,3480,31.0,422283
2,800,524,419200,186589,175150,57461,6346,167.0,1079478
3,640,800,512000,286205,104781,121014,21337,130.0,1546593
4,800,563,450400,133296,138376,178728,38167,438.0,3933035
5,800,552,441600,144868,267375,29357,4801,79.0,460641
6,800,678,542400,199415,287154,55831,6182,110.0,1031232
7,800,618,494400,244033,197397,52970,5660,55.0,716874
8,647,800,517600,268090,107278,142232,15486,578.0,4337122
9,643,800,514400,320543,103649,90208,13389,98.0,1322285
10,800,571,456800,250738,154522,51540,9081,214.0,1257792
11,800,621,496800,256088,178782,61930,10855,283.0,1724381
12,800,527,421600,236303,151461,33836,4917,40.0,409892
13,800,595,476000,211936,120129,143935,40079,407.0,2818099
14,800,529,423200,93375,292786,37039,5327,89.0,649892
15,800,490,392000,135459,213003,43538,6475,205.0,1119583
16,800,536,428800,147168,193798,87834,13832,675.0,3149342
17,800,565,452000,173474,227428,51098,8156,102.0,864322
18,800,646,516800,107226,352823,56751,6419,138.0,1043960
19,800,580,464000,222984,215554,25462,2611,107.0,632359
20,800,575,460000,198956,211939,49105,5078,48.0,524726
21,800,663,530400,237717,171506,121177,36517,607.0,3232193
22,800,719,575200,332237,177358,65605,11695,57.0,848824
23,800,715,572000,329888,178675,63437,10581,91.0,977625
24,800,543,434400,135577,249649,49174,8390,310.0,1681980
25,800,532,425600,39200,326941,59459,5287,1636.0,4762255
26,800,604,483200,52221,277755,153224,30126,1216.0,6061227
27,800,608,486400,195499,188430,102471,26355,1236.0,5039665
,,,,,,,13208.481481481482,338.77777777777777,1912876.2962962964
