id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,50,31,1550,705,477,368,174,216.0,7126
2,50,32,1600,533,624,443,18,785.0,14888
3,40,50,2000,1045,466,489,19,201.0,8618
4,50,35,1750,371,436,943,35,1094.0,28599
5,50,34,1700,498,1009,193,7,409.0,6874
6,50,42,2100,652,1059,389,16,822.0,16751
7,50,38,1900,844,703,353,14,308.0,8120
8,40,50,2000,941,332,727,27,1245.0,30320
9,40,50,2000,1132,387,481,20,349.0,11362
10,50,35,1750,866,547,337,12,815.0,13311
11,50,38,1900,900,610,390,16,861.0,16582
12,50,32,1600,807,550,243,8,95.0,3284
13,50,37,1850,726,432,692,26,1046.0,20361
14,50,33,1650,294,1085,271,9,567.0,8493
15,50,30,1500,481,768,251,9,962.0,11740
16,50,33,1650,501,662,487,18,4708.0,39444
17,50,35,1750,596,855,299,13,370.0,7625
18,50,40,2000,295,1290,415,15,572.0,13777
19,50,36,1800,803,771,226,9,1089.0,13911
20,50,35,1750,639,741,370,15,385.0,8134
21,50,41,2050,631,586,833,34,1893.0,32269
22,50,44,2200,1165,624,411,17,256.0,8647
23,50,44,2200,1166,641,393,16,348.0,9079
24,50,33,1650,431,935,284,10,1615.0,20246
25,50,33,1650,49,1213,388,2,11839.0,79445
26,50,37,1850,70,911,869,4,17413.0,132738
27,50,38,1900,552,668,680,25,4479.0,54922
,,,,,,,21.77777777777778,2027.4814814814815,23209.85185185185
