id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,50,31,1550,772,521,257,30,775.0,10659
2,50,32,1600,537,628,435,30,986.0,13858
3,40,50,2000,1068,335,597,29,585.0,15306
4,50,35,1750,447,453,850,30,1851.0,36362
5,50,34,1700,504,998,198,30,850.0,9982
6,50,42,2100,714,1047,339,17,1162.0,19505
7,50,38,1900,860,722,318,16,870.0,13824
8,40,50,2000,981,337,682,16,1464.0,32529
9,40,50,2000,1190,334,476,17,566.0,13286
10,50,35,1750,895,552,303,18,1193.0,15996
11,50,38,1900,928,615,357,18,1452.0,22058
12,50,32,1600,846,554,200,18,544.0,6884
13,50,37,1850,657,407,786,21,3060.0,41814
14,50,33,1650,329,1103,218,17,1431.0,15125
15,50,30,1500,481,783,236,29,1542.0,16949
16,50,33,1650,522,700,428,20,2928.0,29709
17,50,35,1750,622,842,286,22,863.0,11661
18,50,40,2000,343,1294,363,28,1182.0,18399
19,50,36,1800,826,792,182,19,937.0,12873
20,50,35,1750,709,759,282,24,797.0,11397
21,50,41,2050,710,592,748,17,3352.0,43158
22,50,44,2200,1202,611,387,22,917.0,16653
23,50,44,2200,1204,639,357,23,513.0,11930
24,50,33,1650,470,920,260,23,2479.0,25668
25,50,33,1650,98,1239,313,19,3033.0,30326
26,50,37,1850,91,952,807,28,4657.0,55577
27,50,38,1900,629,710,561,23,4217.0,50685
,,,,,,,22.37037037037037,1637.2592592592594,22302.703703703704
