id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,100,62,6200,3358,2242,600,30,764.0,31732
2,100,65,6500,2907,2710,883,30,572.0,31653
3,80,100,8000,4480,1624,1896,28,575.0,53663
4,100,70,7000,2071,2146,2783,23,1127.0,103001
5,100,69,6900,2266,4173,461,24,927.0,37372
6,100,84,8400,3070,4454,876,23,653.0,47025
7,100,77,7700,3790,3069,841,24,477.0,32780
8,80,100,8000,4195,1610,2195,24,1158.0,106232
9,80,100,8000,5011,1581,1408,17,414.0,41779
10,100,71,7100,3901,2402,797,22,856.0,46335
11,100,77,7700,3980,2752,968,27,789.0,53027
12,100,65,6500,3623,2359,518,23,308.0,18393
13,100,74,7400,3304,1849,2247,23,1425.0,89258
14,100,66,6600,1454,4566,580,21,695.0,35941
15,100,61,6100,2107,3316,677,19,946.0,44752
16,100,67,6700,2302,3031,1367,29,1663.0,89665
17,100,70,7000,2665,3535,800,22,361.0,26582
18,100,80,8000,1663,5457,880,25,572.0,39432
19,100,72,7200,3462,3342,396,19,562.0,29301
20,100,71,7100,3065,3277,758,19,461.0,29125
21,100,82,8200,3680,2648,1872,17,2025.0,111541
22,100,89,8900,5137,2746,1017,23,452.0,40734
23,100,89,8900,5130,2779,991,22,315.0,32726
24,100,67,6700,2066,3871,763,18,1422.0,63833
25,100,66,6600,598,5071,931,22,1968.0,86905
26,100,75,7500,796,4323,2381,23,3622.0,179268
27,100,76,7600,3047,2947,1606,23,3050.0,148933
,,,,,,,22.962962962962962,1042.9259259259259,61147.7037037037
