id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,400,248,99200,49322,33014,16864,2047,66.0,201856
2,400,262,104800,35645,41261,27894,4460,395.0,631826
3,320,400,128000,68403,21739,37858,3880,172.0,472363
4,400,281,112400,28357,29469,54574,6595,668.0,1330166
5,400,276,110400,33422,64456,12522,1445,220.0,264809
6,400,339,135600,46058,67496,22046,2786,232.0,477513
7,400,309,123600,57112,46017,20471,2494,97.0,304877
8,323,400,129200,62772,22163,44265,5124,879.0,1493510
9,321,400,128400,75992,21467,30941,3669,145.0,433257
10,400,285,114000,58991,35432,19577,2355,378.0,529377
11,400,310,124000,60429,40445,23126,2769,519.0,722491
12,400,263,105200,56627,35450,13123,1306,65.0,154093
13,400,297,118800,42053,26221,50526,6740,609.0,1042150
14,400,264,105600,21105,70585,13910,1431,275.0,325252
15,400,245,98000,31829,50875,15296,1533,399.0,470521
16,400,268,107200,34473,45297,27430,2981,4239.0,2255742
17,400,282,112800,40692,53923,18185,2017,176.0,305759
18,400,323,129200,22279,83515,23406,2926,280.0,480943
19,400,290,116000,53141,51066,11793,1354,343.0,395889
20,400,287,114800,46777,49595,18428,2127,144.0,254833
21,400,331,132400,45352,38387,48661,8223,1260.0,1471619
22,400,359,143600,79079,39931,24590,2991,108.0,352834
23,400,357,142800,79056,40984,22760,2627,168.0,398152
24,400,271,108400,31620,59743,17037,1946,650.0,729261
25,400,266,106400,6420,79912,20068,2400,2204.0,1604071
26,400,302,120800,6433,61712,52655,6822,1969.0,2208109
27,400,304,121600,41071,45232,35297,4652,2977.0,2484614
,,,,,,,3322.222222222222,727.2962962962963,807255.074074074
