id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,50,31,1550,663,454,433,23,256.0,8384
2,50,32,1600,446,589,565,24,885.0,17921
3,40,50,2000,994,439,567,22,330.0,11066
4,50,35,1750,308,385,1057,39,1375.0,33402
5,50,34,1700,465,990,245,9,510.0,8824
6,50,42,2100,624,1013,463,20,743.0,17220
7,50,38,1900,831,672,397,16,365.0,9580
8,40,50,2000,897,293,810,30,1408.0,33658
9,40,50,2000,1081,373,546,23,398.0,12509
10,50,35,1750,833,534,383,15,1106.0,16698
11,50,38,1900,845,555,500,20,1285.0,21387
12,50,32,1600,788,534,278,11,91.0,3313
13,50,37,1850,657,410,783,30,1137.0,23749
14,50,33,1650,272,1066,312,12,562.0,9066
15,50,30,1500,476,736,288,11,670.0,10806
16,50,33,1650,479,628,543,20,5007.0,43557
17,50,35,1750,585,839,326,14,415.0,7866
18,50,40,2000,253,1255,492,19,983.0,18702
19,50,36,1800,760,729,311,13,974.0,15725
20,50,35,1750,621,735,394,16,377.0,8631
21,50,41,2050,564,558,928,39,2577.0,41407
22,50,44,2200,1123,584,493,21,415.0,11846
23,50,44,2200,1159,606,435,19,424.0,10745
24,50,33,1650,384,887,379,14,2098.0,26622
25,50,33,1650,26,1196,428,2,11839.0,79445
26,50,37,1850,45,861,944,4,17413.0,132738
27,50,38,1900,481,654,765,28,4974.0,60548
,,,,,,,19.037037037037038,2171.0,25756.11111111111
