id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,800,497,397600,215198,143829,38573,63,125.0,880571
2,800,524,419200,186589,175150,57461,50,155.0,1198429
3,640,800,512000,286205,104781,121014,51,266.0,2345719
4,800,563,450400,133296,138376,178728,55,543.0,4666767
5,800,552,441600,144868,267375,29357,51,304.0,1150621
6,800,678,542400,199415,287154,55831,74,241.0,1722003
7,800,618,494400,244033,197397,52970,39,124.0,1169505
8,647,800,517600,268090,107278,142232,41,917.0,5822481
9,643,800,514400,320543,103649,90208,43,190.0,1884499
10,800,571,456800,250738,154522,51540,51,341.0,1780945
11,800,621,496800,256088,178782,61930,60,439.0,2445529
12,800,527,421600,236303,151461,33836,37,146.0,786433
13,800,595,476000,211936,120129,143935,33,705.0,3725458
14,800,529,423200,93375,292786,37039,31,265.0,1221799
15,800,490,392000,135459,213003,43538,37,392.0,1727826
16,800,536,428800,147168,193798,87834,32,984.0,4014047
17,800,565,452000,173474,227428,51098,47,193.0,1312002
18,800,646,516800,107226,352823,56751,45,240.0,1580476
19,800,580,464000,222984,215554,25462,48,264.0,1174362
20,800,575,460000,198956,211939,49105,51,133.0,953352
21,800,663,530400,237717,171506,121177,51,1005.0,4820595
22,800,719,575200,332237,177358,65605,57,188.0,1615124
23,800,715,572000,329888,178675,63437,48,134.0,1360560
24,800,543,434400,135577,249649,49174,40,789.0,2888123
25,800,532,425600,39200,326941,59459,45,1606.0,4903146
26,800,604,483200,52221,277755,153224,47,1546.0,7387346
27,800,608,486400,195499,188430,102471,54,1706.0,6637594
,,,,,,,47.44444444444444,516.3333333333334,2636122.6666666665
