id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,200,124,24800,13142,8926,2732,162,57.0,40889
2,200,131,26200,11940,11021,3239,222,349.0,101662
3,160,200,32000,17884,7545,6571,406,158.0,103273
4,200,140,28000,8205,8560,11235,676,533.0,278788
5,200,138,27600,9062,16920,1618,98,119.0,38165
6,200,169,33800,12401,18486,2913,178,177.0,79537
7,200,154,30800,15415,12461,2924,171,80.0,56665
8,161,200,32200,16881,6799,8520,476,771.0,314736
9,160,200,32000,19980,7298,4722,274,136.0,94007
10,200,142,28400,15744,10117,2539,154,306.0,92321
11,200,155,31000,15821,11516,3663,211,413.0,134473
12,200,131,26200,14522,9687,1991,105,66.0,33040
13,200,148,29600,13765,7744,8091,534,621.0,206999
14,200,132,26400,5823,18557,2020,110,154.0,50073
15,200,122,24400,8827,13532,2041,120,310.0,80558
16,200,134,26800,9308,12394,5098,277,3358.0,459514
17,200,141,28200,10871,14611,2718,157,147.0,61829
18,200,161,32200,6659,22521,3020,186,208.0,80899
19,200,145,29000,13740,13536,1724,103,230.0,63349
20,200,143,28600,12212,13518,2870,166,112.0,48627
21,200,165,33000,14574,10829,7597,524,872.0,266012
22,200,179,35800,20739,11703,3358,203,80.0,59096
23,200,178,35600,20619,11751,3230,190,99.0,60919
24,200,135,27000,8333,15844,2823,162,486.0,130540
25,200,133,26600,1977,20549,4074,230,2097.0,364749
26,200,151,30200,2551,17429,10220,606,1894.0,498101
27,200,152,30400,11087,11758,7555,434,2336.0,506343
,,,,,,,264.25925925925924,598.8518518518518,159450.5185185185
