id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,50,31,1550,772,521,257,17,149.0,4943
2,50,32,1600,537,628,435,16,875.0,15439
3,40,50,2000,1068,335,597,19,208.0,8518
4,50,35,1750,447,453,850,31,1080.0,26544
5,50,34,1700,504,998,198,7,351.0,5289
6,50,42,2100,714,1047,339,12,572.0,13264
7,50,38,1900,860,722,318,12,214.0,7321
8,40,50,2000,981,337,682,22,1327.0,29407
9,40,50,2000,1190,334,476,16,298.0,9617
10,50,35,1750,895,552,303,11,762.0,12496
11,50,38,1900,928,615,357,13,786.0,14638
12,50,32,1600,846,554,200,6,157.0,3757
13,50,37,1850,657,407,786,25,1033.0,22649
14,50,33,1650,329,1103,218,7,654.0,8306
15,50,30,1500,481,783,236,8,834.0,11021
16,50,33,1650,522,700,428,15,3380.0,32427
17,50,35,1750,622,842,286,10,366.0,7385
18,50,40,2000,343,1294,363,12,626.0,13467
19,50,36,1800,826,792,182,7,379.0,6886
20,50,35,1750,709,759,282,10,274.0,5661
21,50,41,2050,710,592,748,28,2049.0,32277
22,50,44,2200,1202,611,387,12,194.0,7911
23,50,44,2200,1204,639,357,14,382.0,8690
24,50,33,1650,470,920,260,8,1346.0,17440
25,50,33,1650,98,1239,313,10,2439.0,27021
26,50,37,1850,91,952,807,26,3308.0,47046
27,50,38,1900,629,710,561,20,3182.0,41632
,,,,,,,14.592592592592593,1008.3333333333334,16335.25925925926
