id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,400,248,99200,53727,35848,9625,40,233.0,289276
2,400,262,104800,46670,43739,14391,28,241.0,365688
3,320,400,128000,71657,26079,30264,25,369.0,690857
4,400,281,112400,33313,34498,44589,25,891.0,1503227
5,400,276,110400,36264,66786,7350,27,439.0,370351
6,400,339,135600,49923,71746,13931,25,358.0,545108
7,400,309,123600,61124,49257,13219,25,226.0,383203
8,323,400,129200,67082,26589,35529,33,1034.0,1580599
9,321,400,128400,80182,25660,22558,24,299.0,599142
10,400,285,114000,62603,38508,12889,26,436.0,506203
11,400,310,124000,63965,44561,15474,24,605.0,731724
12,400,263,105200,58983,37726,8491,27,203.0,240529
13,400,297,118800,52920,29887,35993,28,962.0,1203746
14,400,264,105600,23304,73044,9252,24,334.0,368141
15,400,245,98000,33916,53185,10899,26,515.0,512328
16,400,268,107200,36867,48378,21955,26,1343.0,1195671
17,400,282,112800,43269,56765,12766,28,266.0,391686
18,400,323,129200,26836,88157,14207,26,390.0,502363
19,400,290,116000,55797,53837,6366,31,392.0,380767
20,400,287,114800,49680,52864,12256,24,233.0,314301
21,400,331,132400,59388,42665,30347,26,1019.0,1196379
22,400,359,143600,83032,44174,16394,26,327.0,536955
23,400,357,142800,82399,44539,15862,27,166.0,379491
24,400,271,108400,33823,62291,12286,25,1156.0,910065
25,400,266,106400,9824,81705,14871,24,1777.0,1314289
26,400,302,120800,13068,69396,38336,28,1944.0,2006086
27,400,304,121600,48757,47249,25594,25,2242.0,1961654
,,,,,,,26.77777777777778,681.4814814814815,777030.7037037037
