id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,200,124,24800,12332,8248,4220,47,498.0,127736
2,200,131,26200,8924,10326,6950,24,467.0,171284
3,160,200,32000,17099,5421,9480,23,573.0,224752
4,200,140,28000,7038,7316,13646,24,1530.0,522813
5,200,138,27600,8360,16098,3142,28,786.0,156891
6,200,169,33800,11465,16840,5495,29,563.0,217207
7,200,154,30800,14175,11503,5122,24,343.0,140151
8,161,200,32200,15692,5487,11021,25,1218.0,469196
9,160,200,32000,18996,5314,7690,28,430.0,201959
10,200,142,28400,14657,8845,4898,27,788.0,205153
11,200,155,31000,15116,10119,5765,31,1019.0,288018
12,200,131,26200,14066,8860,3274,24,292.0,80658
13,200,148,29600,10464,6496,12640,22,1410.0,419853
14,200,132,26400,5278,17629,3493,27,619.0,148094
15,200,122,24400,7907,12688,3805,24,777.0,181768
16,200,134,26800,8613,11330,6857,26,2183.0,452338
17,200,141,28200,10164,13469,4567,25,535.0,156349
18,200,161,32200,5563,20819,5818,22,667.0,212022
19,200,145,29000,13280,12772,2948,24,830.0,189803
20,200,143,28600,11631,12354,4615,24,490.0,144068
21,200,165,33000,11292,9565,12143,25,1981.0,508656
22,200,179,35800,19703,9956,6141,27,704.0,241729
23,200,178,35600,19669,10252,5679,25,315.0,149693
24,200,135,27000,7845,14907,4248,24,1642.0,321908
25,200,133,26600,1597,19970,5033,28,2526.0,452681
26,200,151,30200,1622,15425,13153,22,3072.0,727125
27,200,152,30400,10271,11306,8823,27,3707.0,753768
,,,,,,,26.14814814814815,1109.8148148148148,291321.22222222225
