id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,400,248,99200,49322,33014,16864,38,286.0,419972
2,400,262,104800,35645,41261,27894,32,333.0,611031
3,320,400,128000,68403,21739,37858,27,386.0,773968
4,400,281,112400,28357,29469,54574,38,1076.0,1790126
5,400,276,110400,33422,64456,12522,25,692.0,581539
6,400,339,135600,46058,67496,22046,33,490.0,790738
7,400,309,123600,57112,46017,20471,25,272.0,514243
8,323,400,129200,62772,22163,44265,25,1236.0,1869345
9,321,400,128400,75992,21467,30941,25,395.0,784386
10,400,285,114000,58991,35432,19577,26,601.0,711710
11,400,310,124000,60429,40445,23126,25,856.0,1050409
12,400,263,105200,56627,35450,13123,25,279.0,319132
13,400,297,118800,42053,26221,50526,25,1224.0,1564693
14,400,264,105600,21105,70585,13910,25,468.0,502357
15,400,245,98000,31829,50875,15296,24,649.0,673825
16,400,268,107200,34473,45297,27430,24,2304.0,1821818
17,400,282,112800,40692,53923,18185,24,383.0,524847
18,400,323,129200,22279,83515,23406,22,528.0,749292
19,400,290,116000,53141,51066,11793,40,662.0,649495
20,400,287,114800,46777,49595,18428,25,309.0,446792
21,400,331,132400,45352,38387,48661,27,1474.0,1756224
22,400,359,143600,79079,39931,24590,30,454.0,749667
23,400,357,142800,79056,40984,22760,25,218.0,512440
24,400,271,108400,31620,59743,17037,25,1388.0,1153571
25,400,266,106400,6420,79912,20068,25,2422.0,1748198
26,400,302,120800,6433,61712,52655,24,2700.0,2710941
27,400,304,121600,41071,45232,35297,23,3447.0,2893684
,,,,,,,27.11111111111111,945.6296296296297,1062016.4074074074
