id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,200,124,24800,13432,8964,2404,127,46.0,32978
2,200,131,26200,11675,10925,3600,210,335.0,105581
3,160,200,32000,17917,6522,7561,387,160.0,106522
4,200,140,28000,8288,8572,11140,615,516.0,271418
5,200,138,27600,9068,16698,1834,92,151.0,44242
6,200,169,33800,12421,17897,3482,180,187.0,89041
7,200,154,30800,15177,12314,3309,167,97.0,59297
8,161,200,32200,16783,6572,8845,444,719.0,310879
9,160,200,32000,20051,6353,5596,281,146.0,94560
10,200,142,28400,15578,9617,3205,162,295.0,94681
11,200,155,31000,15995,11141,3864,195,344.0,121220
12,200,131,26200,14673,9434,2093,102,54.0,30860
13,200,148,29600,13226,7414,8960,528,584.0,210958
14,200,132,26400,5825,18262,2313,104,172.0,57078
15,200,122,24400,8427,13253,2720,120,378.0,93632
16,200,134,26800,9213,12086,5501,266,1536.0,300115
17,200,141,28200,10821,14192,3187,157,137.0,60393
18,200,161,32200,6691,21975,3534,183,201.0,85095
19,200,145,29000,13945,13462,1593,80,204.0,56844
20,200,143,28600,12365,13181,3054,152,79.0,41083
21,200,165,33000,14804,10647,7549,461,870.0,259218
22,200,179,35800,20674,11023,4103,209,70.0,60886
23,200,178,35600,20493,11124,3983,198,118.0,71945
24,200,135,27000,8379,15560,3061,154,486.0,136055
25,200,133,26600,2461,20434,3705,187,1719.0,314230
26,200,151,30200,3247,17358,9595,569,1658.0,448553
27,200,152,30400,12194,11799,6407,343,1884.0,409814
,,,,,,,247.14814814814815,486.8888888888889,146932.5185185185
