id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,400,248,99200,53727,35848,9625,597,37.0,115495
2,400,262,104800,46670,43739,14391,1102,248.0,339805
3,320,400,128000,71657,26079,30264,1888,125.0,388680
4,400,281,112400,33313,34498,44589,3123,495.0,1058429
5,400,276,110400,36264,66786,7350,452,100.0,135341
6,400,339,135600,49923,71746,13931,888,146.0,304838
7,400,309,123600,61124,49257,13219,826,60.0,197909
8,323,400,129200,67082,26589,35529,2238,646.0,1162879
9,321,400,128400,80182,25660,22558,1412,115.0,350988
10,400,285,114000,62603,38508,12889,810,275.0,354696
11,400,310,124000,63965,44561,15474,967,357.0,487625
12,400,263,105200,58983,37726,8491,460,52.0,114644
13,400,297,118800,52920,29887,35993,2847,479.0,769825
14,400,264,105600,23304,73044,9252,509,124.0,188518
15,400,245,98000,33916,53185,10899,587,232.0,293376
16,400,268,107200,36867,48378,21955,1712,986.0,930011
17,400,282,112800,43269,56765,12766,1718,108.0,224154
18,400,323,129200,26836,88157,14207,1935,172.0,308862
19,400,290,116000,55797,53837,6366,772,154.0,185135
20,400,287,114800,49680,52864,12256,1503,61.0,144419
21,400,331,132400,59388,42665,30347,5892,702.0,883669
22,400,359,143600,83032,44174,16394,1482,63.0,229210
23,400,357,142800,82399,44539,15862,981,114.0,258776
24,400,271,108400,33823,62291,12286,755,408.0,492018
25,400,266,106400,9824,81705,14871,932,1756.0,1254087
26,400,302,120800,13068,69396,38336,3019,1409.0,1645376
27,400,304,121600,48757,47249,25594,1951,1533.0,1444681
,,,,,,,1531.7777777777778,405.81481481481484,528275.7777777778
