id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,100,62,6200,3110,2102,988,47,117.0,18298
2,100,65,6500,2620,2620,1260,64,683.0,46890
3,80,100,8000,4382,1899,1719,84,161.0,27665
4,100,70,7000,1830,2009,3161,148,669.0,82060
5,100,69,6900,2129,4141,630,31,275.0,17997
6,100,84,8400,2908,4493,999,50,274.0,29486
7,100,77,7700,3722,2980,998,50,148.0,21709
8,80,100,8000,4054,1527,2419,115,1033.0,98633
9,80,100,8000,4822,1754,1424,70,233.0,32319
10,100,71,7100,3806,2435,859,43,506.0,33530
11,100,77,7700,3804,2693,1203,58,600.0,45550
12,100,65,6500,3482,2332,686,29,98.0,11403
13,100,74,7400,3221,1820,2359,115,684.0,60859
14,100,66,6600,1351,4548,701,31,334.0,23027
15,100,61,6100,2138,3362,600,28,595.0,31293
16,100,67,6700,2226,2960,1514,71,3713.0,130855
17,100,70,7000,2600,3568,832,41,223.0,21157
18,100,80,8000,1487,5443,1070,52,404.0,33814
19,100,72,7200,3317,3244,639,30,483.0,30306
20,100,71,7100,2890,3223,987,47,221.0,20814
21,100,82,8200,3199,2538,2463,136,1514.0,99430
22,100,89,8900,4994,2747,1159,57,130.0,22933
23,100,89,8900,5039,2769,1092,53,268.0,26525
24,100,67,6700,1930,3879,891,43,692.0,44507
25,100,66,6600,326,4996,1278,55,2745.0,117143
26,100,75,7500,406,4055,3039,132,2793.0,165293
27,100,76,7600,2545,2846,2209,107,3578.0,175780
,,,,,,,66.18518518518519,858.2962962962963,54417.62962962963
