id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,200,124,24800,12405,8519,3876,226,89.0,58235
2,200,131,26200,10205,10740,5255,360,477.0,152291
3,160,200,32000,17312,6840,7848,439,192.0,122820
4,200,140,28000,7062,7547,13391,735,948.0,394550
5,200,138,27600,8762,16812,2026,124,229.0,60105
6,200,169,33800,11950,18084,3766,232,276.0,114541
7,200,154,30800,15156,12077,3567,215,87.0,62183
8,161,200,32200,16220,5742,10238,570,1020.0,387962
9,160,200,32000,19189,7081,5730,332,140.0,103239
10,200,142,28400,15233,9749,3418,205,409.0,123019
11,200,155,31000,15166,11058,4776,275,510.0,171241
12,200,131,26200,14101,9604,2495,142,102.0,42716
13,200,148,29600,11860,7349,10391,606,795.0,267060
14,200,132,26400,5524,18409,2467,135,196.0,62881
15,200,122,24400,8562,13169,2669,155,371.0,96038
16,200,134,26800,9011,11974,5815,315,4053.0,544206
17,200,141,28200,10689,14441,3070,180,139.0,64272
18,200,161,32200,5787,22251,4162,251,288.0,110482
19,200,145,29000,13084,13098,2818,162,545.0,132442
20,200,143,28600,11695,13277,3628,207,190.0,73993
21,200,165,33000,12456,10327,10217,681,1669.0,417346
22,200,179,35800,20140,11242,4418,263,132.0,83122
23,200,178,35600,20364,11261,3975,265,179.0,90556
24,200,135,27000,7922,15397,3681,263,657.0,171803
25,200,133,26600,1319,20292,4989,342,2589.0,449752
26,200,151,30200,1467,16289,12444,937,2736.0,648545
27,200,152,30400,9511,11487,9402,985,3370.0,703540
,,,,,,,355.6296296296296,829.1851851851852,211442.22222222222
