id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,400,248,99200,50936,34999,13265,1992,61.0,176027
2,400,262,104800,41024,43781,19995,3991,434.0,564277
3,320,400,128000,69908,27069,31023,4304,155.0,431973
4,400,281,112400,30187,31773,50440,7773,676.0,1319513
5,400,276,110400,35774,67828,6798,1009,177.0,201117
6,400,339,135600,48702,73054,13844,2322,178.0,357427
7,400,309,123600,60986,48709,13905,2239,89.0,248017
8,323,400,129200,65470,24144,39586,5680,780.0,1352106
9,321,400,128400,78035,28066,22299,3297,132.0,387683
10,400,285,114000,61839,39191,12970,2242,312.0,397526
11,400,310,124000,61607,45120,17273,1573,556.0,679919
12,400,263,105200,57697,39210,8293,630,55.0,132251
13,400,297,118800,48653,30129,40018,3623,597.0,917680
14,400,264,105600,22659,74133,8808,658,159.0,220814
15,400,245,98000,34245,52974,10781,776,361.0,374620
16,400,268,107200,36346,48176,22678,1605,3469.0,1968477
17,400,282,112800,43082,57727,11991,897,117.0,226915
18,400,323,129200,24214,90280,14706,1502,217.0,359175
19,400,290,116000,53306,53368,9326,1354,287.0,319738
20,400,287,114800,48052,54186,12562,1802,167.0,236982
21,400,331,132400,52544,42393,37463,7612,1203.0,1342259
22,400,359,143600,81561,44975,17064,2652,111.0,293969
23,400,357,142800,82335,45465,15000,2290,150.0,308516
24,400,271,108400,32846,61911,13643,1899,628.0,653958
25,400,266,106400,6329,81812,18259,2482,2339.0,1631737
26,400,302,120800,6836,67523,46441,7413,2180.0,2270988
27,400,304,121600,40060,46792,34748,5145,2655.0,2338034
,,,,,,,2917.1111111111113,675.7407407407408,730062.8888888889
