id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,50,31,1550,838,558,154,29,939.0,9202
2,50,32,1600,724,666,210,28,939.0,10585
3,40,50,2000,1123,411,466,29,343.0,10057
4,50,35,1750,518,541,691,28,1488.0,28113
5,50,34,1700,559,1031,110,18,607.0,6763
6,50,42,2100,771,1116,213,21,931.0,13811
7,50,38,1900,927,770,203,18,800.0,10884
8,40,50,2000,1044,406,550,18,1239.0,26327
9,40,50,2000,1252,389,359,18,556.0,11730
10,50,35,1750,954,596,200,19,809.0,11817
11,50,38,1900,984,679,237,23,1015.0,14355
12,50,32,1600,884,587,129,17,447.0,5114
13,50,37,1850,816,463,571,18,2118.0,30143
14,50,33,1650,362,1143,145,17,1402.0,13161
15,50,30,1500,515,820,165,28,1517.0,14737
16,50,33,1650,563,747,340,17,2450.0,26381
17,50,35,1750,665,885,200,17,656.0,8711
18,50,40,2000,413,1369,218,18,1142.0,15205
19,50,36,1800,863,833,104,17,786.0,9134
20,50,35,1750,744,807,199,17,727.0,9387
21,50,41,2050,914,657,479,18,3048.0,35481
22,50,44,2200,1262,682,256,21,541.0,10304
23,50,44,2200,1256,700,244,22,727.0,11667
24,50,33,1650,501,965,184,26,1287.0,14837
25,50,33,1650,152,1265,233,17,2129.0,22042
26,50,37,1850,195,1064,591,18,3546.0,44030
27,50,38,1900,765,736,399,17,2652.0,32828
,,,,,,,20.51851851851852,1290.4074074074074,16918.74074074074
