id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,200,124,24800,12332,8248,4220,214,80.0,55780
2,200,131,26200,8924,10326,6950,371,580.0,188233
3,160,200,32000,17099,5421,9480,422,220.0,130492
4,200,140,28000,7038,7316,13646,671,789.0,370007
5,200,138,27600,8360,16098,3142,156,240.0,67133
6,200,169,33800,11465,16840,5495,275,258.0,126301
7,200,154,30800,14175,11503,5122,252,109.0,82027
8,161,200,32200,15692,5487,11021,498,841.0,370061
9,160,200,32000,18996,5314,7690,378,191.0,117168
10,200,142,28400,14657,8845,4898,242,439.0,139841
11,200,155,31000,15116,10119,5765,286,539.0,186494
12,200,131,26200,14066,8860,3274,141,102.0,46443
13,200,148,29600,10464,6496,12640,639,817.0,300727
14,200,132,26400,5278,17629,3493,154,305.0,90505
15,200,122,24400,7907,12688,3805,166,507.0,132677
16,200,134,26800,8613,11330,6857,298,4074.0,562367
17,200,141,28200,10164,13469,4567,221,198.0,84220
18,200,161,32200,5563,20819,5818,290,366.0,142984
19,200,145,29000,13280,12772,2948,146,395.0,108491
20,200,143,28600,11631,12354,4615,229,147.0,65568
21,200,165,33000,11292,9565,12143,780,1347.0,391202
22,200,179,35800,19703,9956,6141,413,151.0,104623
23,200,178,35600,19669,10252,5679,405,221.0,113341
24,200,135,27000,7845,14907,4248,301,773.0,200652
25,200,133,26600,1597,19970,5033,474,2396.0,420203
26,200,151,30200,1622,15425,13153,1143,2311.0,607891
27,200,152,30400,10271,11306,8823,830,3452.0,691137
,,,,,,,385.0,809.1851851851852,218391.40740740742
