id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,800,497,397600,197538,132459,67603,47,166.0,1353834
2,800,524,419200,142599,165293,111308,56,248.0,2125303
3,640,800,512000,273125,87365,151510,61,326.0,2789842
4,800,563,450400,113453,118238,218709,36,707.0,5858781
5,800,552,441600,133492,258016,50092,34,614.0,2145781
6,800,678,542400,183997,270321,88082,60,403.0,2791927
7,800,618,494400,228025,184518,81857,34,167.0,1669918
8,647,800,517600,250889,89577,177134,41,1082.0,6946066
9,643,800,514400,303698,86811,123891,39,252.0,2483743
10,800,571,456800,236267,142175,78358,40,529.0,2657561
11,800,621,496800,241960,162300,92540,48,708.0,3806238
12,800,527,421600,226780,142356,52464,44,233.0,1154525
13,800,595,476000,168409,105441,202150,38,1226.0,5738599
14,800,529,423200,84586,282855,55759,32,432.0,1875118
15,800,490,392000,127099,203797,61104,29,577.0,2451334
16,800,536,428800,137639,181443,109718,26,2034.0,6749646
17,800,565,452000,163124,216133,72743,34,272.0,1771814
18,800,646,516800,89157,334210,93433,41,360.0,2461822
19,800,580,464000,212408,204487,47105,41,490.0,2175100
20,800,575,460000,187299,198885,73816,38,235.0,1511358
21,800,663,530400,181448,154278,194674,47,1355.0,6709068
22,800,719,575200,316515,160340,98345,59,336.0,2534465
23,800,715,572000,316487,164526,90987,47,193.0,1940570
24,800,543,434400,126722,239355,68323,50,1154.0,4097576
25,800,532,425600,25569,319694,80337,50,2272.0,6718993
26,800,604,483200,25557,247015,210628,48,2355.0,10108114
27,800,608,486400,164667,180509,141224,54,3008.0,10596301
,,,,,,,43.48148148148148,804.9629629629629,3823088.777777778
