id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,100,62,6200,3081,2063,1056,47,786.0,39426
2,100,65,6500,2228,2549,1723,29,652.0,47092
3,80,100,8000,4272,1357,2371,30,637.0,58005
4,100,70,7000,1762,1830,3408,21,1586.0,133173
5,100,69,6900,2083,4032,785,18,1119.0,48197
6,100,84,8400,2831,4201,1368,21,797.0,64323
7,100,77,7700,3544,2879,1277,21,526.0,41532
8,80,100,8000,3930,1345,2725,22,1421.0,126959
9,80,100,8000,4746,1330,1924,24,431.0,50973
10,100,71,7100,3669,2218,1213,26,1029.0,59917
11,100,77,7700,3753,2498,1449,24,1139.0,75872
12,100,65,6500,3474,2212,814,18,412.0,24270
13,100,74,7400,2622,1620,3158,22,1650.0,112522
14,100,66,6600,1319,4411,870,19,898.0,47401
15,100,61,6100,1970,3170,960,18,1046.0,55420
16,100,67,6700,2152,2832,1716,18,2681.0,129475
17,100,70,7000,2504,3370,1126,17,553.0,39162
18,100,80,8000,1388,5170,1442,25,791.0,59414
19,100,72,7200,3297,3171,732,19,1022.0,53732
20,100,71,7100,2883,3079,1138,18,638.0,41257
21,100,82,8200,2810,2364,3026,24,2641.0,145899
22,100,89,8900,4882,2477,1541,29,556.0,53310
23,100,89,8900,4913,2555,1432,26,361.0,40717
24,100,67,6700,1926,3709,1065,23,2131.0,92861
25,100,66,6600,393,4961,1246,21,2601.0,111882
26,100,75,7500,381,3830,3289,24,4539.0,230269
27,100,76,7600,2557,2826,2217,23,4280.0,205408
,,,,,,,23.22222222222222,1367.5185185185185,81054.37037037036
